Player,90s,Goals,Shots,PKs,npxG,npG,Born,Age
Amine Gouiri (2000),48.4,21.0,115.0,6.0,17.4,15.0,2000.0,21.0
Amine Harit (1997),86.7,13.0,94.0,2.0,7.6,11.0,1997.0,24.0
Amir Abrashi (1990),26.299999999999997,0.0,17.0,0.0,0.8,0.0,1990.0,31.0
Amir Rrahmani (1994),65.6,3.0,59.0,0.0,4.9,3.0,1994.0,27.0
Amos Pieper (1998),46.7,1.0,23.0,0.0,1.7,1.0,1998.0,23.0
Anaitz Arbilla (1987),102.0,4.0,77.0,0.0,3.5,4.0,1987.0,34.0
Anas Ouahim (1997),0.2,0.0,1.0,0.0,0.1,0.0,1997.0,24.0
Anastasios Donis (1996),32.0,7.0,93.0,0.0,9.7,7.0,1996.0,25.0
Ander Barrenetxea (2001),29.9,5.0,51.0,0.0,3.4,5.0,2001.0,20.0
Ander Capa (1992),98.8,5.0,44.0,0.0,3.0000000000000004,5.0,1992.0,29.0
Ander Guevara (1997),42.5,1.0,17.0,0.0,0.7,1.0,1997.0,24.0
Ander Herrera (1989),66.6,7.0,72.0,0.0,4.6000000000000005,7.0,1989.0,32.0
Ander Iturraspe (1989),25.0,0.0,6.0,0.0,0.2,0.0,1989.0,32.0
Anderson Lima (1999),1.2999999999999998,0.0,6.0,0.0,0.2,0.0,1999.0,22.0
Anderson Lucoqui (1997),23.4,1.0,15.0,0.0,0.7,1.0,1997.0,24.0
Andi Zeqiri (1999),10.8,2.0,30.0,0.0,3.1,2.0,1999.0,22.0
Andoni Gorosabel (1996),52.699999999999996,0.0,13.0,0.0,0.7,0.0,1996.0,25.0
Andoni López (1996),1.0,0.0,1.0,0.0,0.0,0.0,1996.0,25.0
Andre Gray (1991),40.2,14.0,88.0,0.0,16.0,14.0,1991.0,30.0
Andre-Frank Zambo Anguissa (1995),114.5,2.0,135.0,0.0,7.3999999999999995,2.0,1995.0,26.0
Andrea Adorante (2000),0.1,0.0,0.0,0.0,0.0,0.0,2000.0,21.0
Andrea Barberis (1993),33.7,2.0,23.0,0.0,1.5,2.0,1993.0,28.0
Andrea Barzagli (1981),19.0,0.0,1.0,0.0,0.0,0.0,1981.0,40.0
Andrea Beghetto (1994),24.7,0.0,23.0,0.0,0.8,0.0,1994.0,27.0
Andrea Belotti (1993),137.3,56.0,422.0,16.0,44.8,40.0,1993.0,28.0
Andrea Bertolacci (1991),38.1,1.0,19.0,0.0,1.2000000000000002,1.0,1991.0,30.0
Andrea Cambiaso (2000),17.8,1.0,10.0,0.0,0.6,1.0,2000.0,21.0
Andrea Carboni (2001),33.6,0.0,12.0,0.0,0.5,0.0,2001.0,20.0
Andrea Cistana (1997),20.4,1.0,6.0,0.0,0.4,1.0,1997.0,24.0
Andrea Conti (1994),35.900000000000006,0.0,7.0,0.0,0.4,0.0,1994.0,27.0
Andrea Cossu (1980),2.7,0.0,2.0,0.0,0.1,0.0,1980.0,41.0
Andrea Costa (1986),15.3,0.0,9.0,0.0,1.2,0.0,1986.0,35.0
Andrea Danzi (1999),5.6000000000000005,0.0,1.0,0.0,0.0,0.0,1999.0,22.0
Andrea Favilli (1997),13.4,2.0,31.0,0.0,3.7,2.0,1997.0,24.0
Andrea Ghezzi (2001),0.4,0.0,2.0,0.0,0.1,0.0,2001.0,20.0
Andrea Ghion (2000),0.5,0.0,1.0,0.0,0.1,0.0,2000.0,21.0
Andrea La Mantia (1991),8.0,3.0,27.0,0.0,4.2,3.0,1991.0,30.0
Andrea Masiello (1986),105.4,4.0,43.0,0.0,4.5,4.0,1986.0,35.0
Andrea Nalini (1990),18.2,0.0,20.0,0.0,0.7,0.0,1990.0,31.0
Andrea Papetti (2002),10.2,1.0,2.0,0.0,0.1,1.0,2002.0,19.0
Andrea Petagna (1995),101.0,38.0,269.0,11.0,26.699999999999996,27.0,1995.0,26.0
